address,bedroom_count,district,epc_score,habitable_surface,immo_status,immocode,land_surface,municipality,plot_area,postalcode,price,price_per_sqmeter,province,region,room_count,subtype,type
Smedenstraat  9,6,31000,C,399,FOR_SALE,10376565,190,Brugge,589,8000,595000,1010,30000,2000,7,MIXED_USE_BUILDING,HOUSE
Clos du Manoir  25,4,21000,E,203,FOR_SALE,10675441,258,Woluwe-Saint-Pierre,461,1150,599000,1299,400001,4000,5,HOUSE,HOUSE
Rue Artan  41,9,21000,E,370,FOR_SALE,10367111,370,Schaerbeek,740,1030,600000,811,400001,4000,10,APARTMENT_BLOCK,HOUSE
Strijmeers  8,3,41000,E,177,FOR_SALE,10700221,3134,Sint-Lievens-Houtem,3311,9520,295000,89,40000,2000,4,HOUSE,HOUSE
Sint-Annastraat  6,3,34000,E,140,FOR_SALE,10701094,325,Zwevegem,465,8550,425000,914,30000,2000,4,VILLA,HOUSE
Konijnestraat  105,3,23000,D,356,FOR_SALE,10700605,2541,Sint-Pieters-Leeuw Vlezenbeek,2897,1602,1100000,380,20001,2000,4,VILLA,HOUSE
Reperstraat  32,3,36000,D,139,FOR_SALE,10702767,204,Izegem,343,8870,169000,493,30000,2000,4,TOWN_HOUSE,HOUSE
Bois  20,3,51004,C,190,FOR_SALE,10700125,630,Flobecq,820,7880,339000,413,50000,3000,4,HOUSE,HOUSE
Schalbroekstraat  90,4,71000,E,285,FOR_SALE,10701125,1601,Lummen,1886,3560,629000,334,70000,2000,5,VILLA,HOUSE
Rue Champ Rodange  42,4,25072,B,348,FOR_SALE,10700582,1066,Waterloo,1414,1410,720000,509,20002,3000,5,HOUSE,HOUSE
Rue Vieux Martin  None,1,93000,B,,FOR_SALE,8621387,,Hanzinne,165,5621,191500,1161,90000,3000,2,HOUSE_GROUP,HOUSE_GROUP
Avenue Hulet  13,4,25072,E,191,FOR_SALE,10657786,696,Rixensart,887,1332,480000,541,20002,3000,5,VILLA,HOUSE
Paardenstraat  34,4,24000,B,214,FOR_SALE,10586127,2890,Bertem,3104,3060,484000,156,20001,2000,5,TOWN_HOUSE,HOUSE
Avenue des Pinsons  19,3,25072,C,175,FOR_SALE,10634215,310,Braine-l'Alleud,485,1420,485000,1000,20002,3000,4,TOWN_HOUSE,HOUSE
Leon Gillardlaan  130,6,23000,B,290,FOR_SALE,10671473,701,Asse Zellik,991,1731,485000,489,20001,2000,7,HOUSE,HOUSE
