address,bedroom_count,district,epc_score,habitable_surface,immo_status,immocode,land_surface,municipality,plot_area,postalcode,price,price_per_sqmeter,province,region,room_count,subtype,type
Heirweg  166,4,46000,F,,FOR_SALE,10311626,,Stekene,212,9190,610000,2877,40000,2000,5,HOUSE_GROUP,HOUSE_GROUP
Albertlaan  191,5,41000,C,450,FOR_SALE,10663833,1260,Ninove,1710,9400,615000,360,40000,2000,6,MANSION,HOUSE
Boulevard du Centenaire  101,4,25072,C,222,FOR_SALE,10640101,953,DION-LE-VAL,1175,1325,620000,528,20002,3000,5,HOUSE,HOUSE
Rue Fond Delvaux  5,0,25072,A,,FOR_SALE,10347680,,Chaumont-Gistoux,268,1325,681261,2542,20002,3000,1,HOUSE_GROUP,HOUSE_GROUP
Grand'Route  14,3,25072,E,180,FOR_SALE,10697865,2630,Orp-Jauche,2810,1350,285000,101,20002,3000,4,HOUSE,HOUSE
Pannebekestraat  19,3,31000,E,134,FOR_SALE,10698801,136,Brugge,270,8000,299000,1107,30000,2000,4,HOUSE,HOUSE
Rue du Val Saint-Lambert  195,3,62000,D,,FOR_SALE,10699364,190,62096,109,4100,399000,3661,62000,3000,4,MIXED_USE_BUILDING,HOUSE
Rue du Val Saint-Lambert  195,3,62000,D,,FOR_SALE,10699040,190,62096,213,4100,399000,1873,62000,3000,4,APARTMENT_BLOCK,HOUSE
Chaussée de Charleroi  98,2,92000,C,160,FOR_SALE,10543084,177,Gembloux,337,5030,190000,564,90000,3000,3,HOUSE,HOUSE
Rue Garde-Dieu  75,3,62000,C,175,FOR_SALE,10238089,145,Liege,320,4031,229000,716,62000,3000,4,HOUSE,HOUSE
Rue Chénia  11,4,61031,F,180,FOR_SALE,9722868,514,AMPSIN,694,4540,245000,353,62000,3000,5,HOUSE,HOUSE
Rue Saint-Monon  1,5,83000,G,180,FOR_SALE,10529671,610,Petithan (Durbuy),790,6940,259000,328,80000,3000,6,HOUSE,HOUSE
Rue des Bruynettes  27,4,92000,D,161,FOR_SALE,10649333,875,Gembloux,1036,5030,260000,251,90000,3000,5,HOUSE,HOUSE
Moerbosstraat  17,4,34000,C,185,FOR_SALE,10701098,940,Waregem,1125,8793,435000,387,30000,2000,5,VILLA,HOUSE
None  None,2,25072,C,,FOR_SALE,10421385,,Beauvechain,214,1320,470000,2196,20002,3000,3,HOUSE_GROUP,HOUSE_GROUP
Rue du Sergent Merx  6,6,62000,C,310,FOR_SALE,10704095,270,62000,580,4000,269000,464,62000,3000,7,HOUSE,HOUSE
Chaussée de Ramet  50,3,62000,D,130,FOR_SALE,10470376,182,IVOZ-RAMET,312,4400,101297,325,62000,3000,4,HOUSE,HOUSE
Rue Bonne-Foi  41,2,62000,F,120,FOR_SALE,10554728,221,Herstal,341,4040,81002,238,62000,3000,3,HOUSE,HOUSE
Oostergem  36,2,44000,D,147,FOR_SALE,10706559,200,Aalter,347,9880,350000,1009,40000,2000,3,HOUSE,HOUSE
Sint-Bernardsesteenweg  1146,3,11002,C,200,FOR_SALE,10705854,145,Hoboken,345,2660,385000,1116,11002,2000,4,HOUSE,HOUSE
Rue Florimond De Pauw  40,9,21000,F,540,FOR_SALE,10584690,140,Anderlecht,680,1070,1350000,1985,400001,4000,10,APARTMENT_BLOCK,HOUSE
Gellenberg  53,5,24000,E,535,FOR_SALE,10585770,12762,Lubbeek,13297,3210,1350000,102,20001,2000,6,VILLA,HOUSE
Zavelstraat  15,4,23000,F,381,FOR_SALE,10645551,14528,Dilbeek,14909,1700,1495000,100,20001,2000,5,EXCEPTIONAL_PROPERTY,HOUSE
Avenue des Rouges-Gorges  14,6,23000,E,500,FOR_SALE,10469812,2471,Kraainem,2971,1950,1560000,525,20001,2000,7,HOUSE,HOUSE
Square Marie-Louise  62,6,21000,C,497,FOR_SALE,10653822,242,Bruxelles,739,1000,1950000,2639,400001,4000,7,MANSION,HOUSE
Rue de la Roche Fatale  4,2,21000,B,155,FOR_SALE,10535424,161,Woluwe-Saint-Lambert,316,1200,470000,1487,400001,4000,3,HOUSE,HOUSE
Chemin Du Puits - Borreweg  73,3,21000,B,178,FOR_SALE,10510031,200,Uccle,378,1180,495000,1310,400001,4000,4,TOWN_HOUSE,HOUSE
Hollekensweg  55,3,23000,C,169,FOR_SALE,10314468,720,Linkebeek,889,1630,545000,613,20001,2000,4,HOUSE,HOUSE
Rue Bonne-Foi  84,4,62000,B,232,FOR_SALE,10503820,904,Herstal,1136,4040,549000,483,62000,3000,5,HOUSE,HOUSE
Zonnestraat  49,2,45000,B,145,FOR_SALE,10365034,88,Ronse,233,9600,149000,639,40000,2000,3,HOUSE,HOUSE
Rue Fond du Moulin  46,2,62000,G,139,FOR_SALE,10623016,413,Esneux Tilff,552,4130,150000,272,62000,3000,3,HOUSE,HOUSE
Heiveldstraat  111,3,46000,F,155,FOR_SALE,10561682,228,Beveren,383,9120,235000,614,40000,2000,4,HOUSE,HOUSE
Gasstraat  30,5,11002,E,150,FOR_SALE,10638071,56,11002,206,2060,239000,1160,11002,2000,6,HOUSE,HOUSE
Rue des Ecoles  19,5,62000,G,213,FOR_SALE,10602391,261,Ans,474,4430,239000,504,62000,3000,6,HOUSE,HOUSE
Diesbeekstraat  55,6,23000,E,420,FOR_SALE,10624297,8535,Beersel,8955,1654,1495000,167,20001,2000,7,HOUSE,HOUSE
Avenue des Sorbiers  2A,3,21000,B,319,FOR_SALE,10484483,1000,Uccle,1319,1180,1590000,1205,400001,4000,4,HOUSE,HOUSE
Clos du Drossart  2,6,21000,C,326,FOR_SALE,10661837,620,Uccle,946,1180,1625000,1718,400001,4000,7,HOUSE,HOUSE
Rue Mareyde  17,8,21000,B,460,FOR_SALE,10645669,818,Woluwe-Saint-Pierre,1278,1150,1650000,1291,400001,4000,9,HOUSE,HOUSE
Rue de la Victoire  50,5,21000,D,256,FOR_SALE,9618806,256,Saint-Gilles,512,1060,695000,1357,400001,4000,6,HOUSE,HOUSE
Rue de la Victoire  50,5,21000,D,256,FOR_SALE,9617516,256,Saint-Gilles,512,1060,695000,1357,400001,4000,6,MIXED_USE_BUILDING,HOUSE
Square Coghen  17,3,21000,C,258,FOR_SALE,10527083,235,Uccle,493,1180,1120000,2272,400001,4000,12,HOUSE,HOUSE
Hellevelt  34,5,21000,D,369,FOR_SALE,10562371,528,Uccle,897,1180,1190000,1327,400001,4000,15,HOUSE,HOUSE
