price,price_per_sqmeter,plot_area,habitable_surface,bedroom_count,land_surface,room_count
415000,312.0,1332.0,320.0,3,1012.0,4
595000,1562.0,381.0,256.0,2,125.0,3
585000,282.0,2075.0,390.0,3,1685.0,4
585000,282.0,2075.0,390.0,3,1685.0,4
590000,801.0,737.0,175.0,3,562.0,4
590000,801.0,737.0,175.0,3,562.0,4
389500,927.0,420.0,197.0,3,223.0,4
800000,2597.0,308.0,308.0,2,0.0,3
1325000,726.0,1824.0,300.0,3,1524.0,4
925000,528.0,1752.0,352.0,4,1400.0,5
155500,549.0,283.0,85.0,2,198.0,3
395000,287.0,1375.0,215.0,3,1160.0,4
399000,1235.0,323.0,260.0,8,63.0,9
399000,1602.0,249.0,134.0,3,115.0,4
799000,316.0,2528.0,505.0,5,2023.0,6
820000,2391.0,343.0,202.0,4,141.0,5
395000,2090.0,189.0,0.0,1,0.0,2
395000,2057.0,192.0,0.0,1,0.0,2
418000,2459.0,170.0,0.0,1,0.0,2
418908,2992.0,140.0,0.0,2,0.0,3
405150,2006.0,202.0,0.0,2,0.0,3
369000,277.0,1330.0,180.0,3,1150.0,4
369000,368.0,1003.0,212.0,3,791.0,4
369000,66.0,5551.0,276.0,6,5275.0,7
369850,1840.0,201.0,0.0,1,0.0,2
680000,1201.0,566.0,155.0,4,411.0,5
695000,1991.0,349.0,188.0,4,161.0,5
695000,1511.0,460.0,190.0,4,270.0,5
695000,496.0,1400.0,300.0,6,1100.0,7
695000,387.0,1795.0,295.0,3,1500.0,4
350000,860.0,407.0,180.0,2,227.0,3
395000,423.0,933.0,370.0,4,563.0,5
615000,699.0,880.0,300.0,4,580.0,5
169000,509.0,332.0,101.0,2,231.0,3
389000,757.0,514.0,106.0,2,408.0,3
799000,319.0,2503.0,230.0,3,2273.0,4
800000,1061.0,754.0,375.0,3,379.0,4
1990000,609.0,3269.0,608.0,5,2661.0,6
749000,485.0,1543.0,280.0,4,1263.0,5
245000,343.0,715.0,110.0,3,605.0,4
245000,540.0,454.0,240.0,4,214.0,5
300000,337.0,891.0,120.0,3,771.0,4
335000,140.0,2394.0,209.0,4,2185.0,5
335000,140.0,2394.0,209.0,4,2185.0,5
597080,2739.0,218.0,0.0,4,0.0,5
592000,3183.0,186.0,0.0,1,0.0,2
390000,392.0,995.0,275.0,3,720.0,4
500000,912.0,548.0,100.0,3,448.0,4
409000,235.0,1743.0,202.0,5,1541.0,6
465000,827.0,562.0,199.0,3,363.0,4
479000,1111.0,431.0,190.0,4,241.0,5
541000,3513.0,154.0,0.0,1,0.0,2
318000,2208.0,144.0,0.0,4,0.0,5
319000,816.0,391.0,194.0,3,197.0,4
319000,1526.0,209.0,154.0,3,55.0,4
319900,215.0,1485.0,150.0,3,1335.0,4
525000,1415.0,371.0,240.0,3,131.0,4
550000,993.0,554.0,156.0,4,398.0,5
2475000,181.0,13665.0,764.0,6,12901.0,7
249000,755.0,330.0,130.0,3,200.0,4
399000,1050.0,380.0,170.0,4,210.0,5
399000,253.0,1575.0,375.0,3,1200.0,4
249000,351.0,710.0,115.0,3,595.0,4
279000,738.0,378.0,163.0,2,215.0,3
149000,603.0,247.0,137.0,4,110.0,5
235000,516.0,455.0,100.0,3,355.0,4
299900,675.0,444.0,124.0,3,320.0,4
595000,839.0,709.0,250.0,4,459.0,5
595000,2052.0,290.0,150.0,3,140.0,4
595000,397.0,1499.0,215.0,3,1284.0,4
165000,873.0,189.0,96.0,3,93.0,4
225000,875.0,257.0,117.0,3,140.0,4
269000,416.0,646.0,255.0,3,391.0,4
299000,735.0,407.0,175.0,3,232.0,4
399000,403.0,991.0,125.0,3,866.0,4
399500,538.0,743.0,185.0,3,558.0,4
419000,747.0,561.0,232.0,3,329.0,4
420000,979.0,429.0,242.0,4,187.0,5
420000,737.0,570.0,250.0,4,320.0,5
825000,1025.0,805.0,200.0,4,605.0,5
825000,1726.0,478.0,253.0,4,225.0,5
825000,286.0,2887.0,445.0,4,2442.0,5
845000,1912.0,442.0,310.0,6,132.0,7
419838,2018.0,208.0,0.0,0,0.0,1
399000,664.0,601.0,173.0,3,428.0,4
399000,964.0,414.0,150.0,3,264.0,4
399000,280.0,1426.0,148.0,3,1278.0,4
399000,789.0,506.0,284.0,5,222.0,6
370000,437.0,846.0,301.0,3,545.0,4
699000,920.0,760.0,270.0,5,490.0,6
699000,920.0,760.0,270.0,5,490.0,6
699000,804.0,869.0,200.0,3,669.0,4
735000,196.0,3748.0,404.0,3,3344.0,4
589000,454.0,1296.0,366.0,8,930.0,9
149000,505.0,295.0,110.0,2,185.0,3
401410,2375.0,169.0,0.0,0,0.0,1
700000,2194.0,319.0,138.0,4,181.0,5
320000,389.0,822.0,148.0,3,674.0,4
475000,1448.0,328.0,225.0,4,103.0,5
144000,686.0,210.0,105.0,2,105.0,3
750000,219.0,3419.0,306.0,4,3113.0,5
765000,1064.0,719.0,214.0,4,505.0,5
812250,3384.0,240.0,0.0,4,0.0,5
789000,256.0,3077.0,300.0,3,2777.0,4
245000,540.0,454.0,240.0,4,214.0,5
245000,490.0,500.0,130.0,2,370.0,3
249000,593.0,420.0,150.0,3,270.0,4
249000,313.0,795.0,120.0,2,675.0,3
249000,313.0,795.0,120.0,2,675.0,3
310000,1722.0,180.0,100.0,3,80.0,4
312500,596.0,524.0,199.0,4,325.0,5
320000,217.0,1477.0,180.0,3,1297.0,4
325000,539.0,603.0,203.0,0,400.0,1
384000,2233.0,172.0,0.0,2,0.0,3
360000,2571.0,140.0,0.0,0,0.0,1
366001,2691.0,136.0,0.0,4,0.0,5
413500,2088.0,198.0,0.0,1,0.0,2
595000,1854.0,321.0,232.0,4,89.0,5
599000,631.0,949.0,378.0,4,571.0,5
599000,631.0,949.0,378.0,4,571.0,5
615000,2552.0,241.0,0.0,3,0.0,4
3000000,1536.0,1953.0,750.0,20,1203.0,21
126000,276.0,457.0,300.0,4,157.0,5
170000,150.0,1132.0,125.0,3,1007.0,4
250000,146.0,1715.0,240.0,4,1475.0,5
170000,444.0,383.0,100.0,3,283.0,4
175000,144.0,1218.0,150.0,2,1068.0,3
285000,422.0,675.0,135.0,3,540.0,4
435000,512.0,850.0,250.0,3,600.0,4
260000,637.0,408.0,157.0,4,251.0,5
320000,54.0,5920.0,165.0,4,5755.0,5
1295000,2621.0,494.0,249.0,4,245.0,5
1299000,647.0,2007.0,450.0,6,1557.0,7
449000,373.0,1205.0,233.0,5,972.0,6
469000,270.0,1740.0,281.0,5,1459.0,6
149000,546.0,273.0,123.0,4,150.0,5
149000,278.0,536.0,114.0,2,422.0,3
149000,481.0,310.0,180.0,3,130.0,4
229000,609.0,376.0,172.0,3,204.0,4
